Timestamp,L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Hip,R_Hip,L_Knee,R_Knee
2025-12-18 15:35:12.009,90,156,111,17,178,173,164,169
2025-12-18 15:35:12.518,90,140,109,18,176,175,169,171
2025-12-18 15:35:13.023,90,141,105,11,51,177,16,172
2025-12-18 15:35:13.524,9,139,103,13,173,173,177,175
2025-12-18 15:35:14.024,90,109,106,58,174,175,179,176
2025-12-18 15:35:14.529,90,116,109,4,176,176,179,175
2025-12-18 15:35:15.035,90,142,109,30,179,168,178,175
2025-12-18 15:35:15.542,90,143,106,17,172,179,174,174
2025-12-18 15:35:16.049,90,154,111,56,174,178,165,175
2025-12-18 15:35:16.549,90,169,112,72,47,175,17,175
2025-12-18 15:35:17.049,90,168,117,70,43,172,17,173
2025-12-18 15:35:17.562,90,155,117,61,43,175,18,170
2025-12-18 15:35:18.070,90,163,109,77,120,127,99,105
2025-12-18 15:35:18.574,90,154,96,84,84,101,79,93
2025-12-18 15:35:19.077,90,162,95,95,78,91,76,85
2025-12-18 15:35:19.577,90,162,95,97,75,86,73,80
2025-12-18 15:35:20.081,90,168,99,98,82,91,77,81
2025-12-18 15:35:20.584,90,171,98,94,80,89,78,82
2025-12-18 15:35:21.139,90,167,95,94,78,90,76,85
2025-12-18 15:35:21.640,90,144,92,79,77,88,80,86
2025-12-18 15:35:22.144,90,166,103,80,96,105,94,95
2025-12-18 15:35:22.647,90,157,117,60,150,149,132,129
2025-12-18 15:35:23.151,90,159,129,52,168,172,132,129
2025-12-18 15:35:23.656,90,155,125,48,177,175,151,156
2025-12-18 15:35:24.156,90,156,117,47,42,176,16,157
2025-12-18 15:35:24.656,90,158,122,66,153,141,127,108
2025-12-18 15:35:25.159,90,152,115,75,97,104,74,82
2025-12-18 15:35:25.709,90,155,115,75,93,103,78,80
2025-12-18 15:35:26.260,90,150,116,68,87,99,66,75
2025-12-18 15:35:26.761,7,136,109,74,78,86,70,72
2025-12-18 15:35:27.267,7,146,107,74,84,94,76,77
2025-12-18 15:35:27.771,7,159,108,85,79,89,73,77
2025-12-18 15:35:28.279,153,136,97,72,64,72,64,85
2025-12-18 15:35:28.786,90,132,93,52,71,62,90,89
2025-12-18 15:35:29.288,2,138,85,50,77,88,90,109
2025-12-18 15:35:29.789,163,117,80,19,88,108,4,130
2025-12-18 15:35:30.342,152,117,62,2,105,113,140,151
2025-12-18 15:35:30.847,16,136,77,0,123,138,17,156
2025-12-18 15:35:31.402,90,115,97,25,59,165,90,155
2025-12-18 15:35:31.954,90,155,108,21,50,173,19,171
2025-12-18 15:35:32.456,90,121,110,3,47,171,17,178
2025-12-18 15:35:32.957,90,135,113,11,47,173,16,177
2025-12-18 15:35:33.462,90,145,108,5,51,169,90,179
2025-12-18 15:35:34.016,90,131,111,15,48,170,90,177
2025-12-18 15:35:34.520,90,110,102,19,54,175,15,171
2025-12-18 15:35:35.026,4,106,91,4,68,123,13,112
2025-12-18 15:35:35.533,6,147,109,69,80,87,36,53
2025-12-18 15:35:36.035,142,136,80,28,81,92,34,45
2025-12-18 15:35:36.537,161,147,78,70,82,90,32,46
2025-12-18 15:35:37.043,4,139,106,70,80,91,35,45
2025-12-18 15:35:37.553,4,148,105,66,75,88,38,41
2025-12-18 15:35:38.063,165,140,80,61,76,89,37,40
2025-12-18 15:35:38.566,148,139,74,63,76,88,41,38
2025-12-18 15:35:39.120,6,149,114,72,75,86,45,37
2025-12-18 15:35:39.639,6,140,115,63,49,88,90,36
2025-12-18 15:35:40.196,6,128,118,54,48,85,90,37
